,Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year,ConversionRate
619,Pt-Ga/Al2O3,Alloy,"Pt, Ga",Pt,Aluminum Oxide,{'Initial propane conversion': '60%'},0.22 ([X0-Xf]/X0),"H2/C3H8 = 0.9, He/C3H8 = 8.1",853.0,,,PDH,"H2, C3H8, He",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.0,Intermetallic Compounds,Impregnation Methods,Ga,,,,90.0,,,,,,,10.1016/S0926-860X(99)00058-7,1999.0,60.0
620,Pt-Sn/Al2O3,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '22.6-33.8%'},25-37.5% in 180 min,H2/C3H8/Ar = 1:1:5,823.0,30.0,5 h-1,PDH,"H2, C3H8, Ar",False,"{'Conversion': 'Catalyst preparation method (flame spray pyrolysis)', 'Stability': 'Catalyst preparation method (flame spray pyrolysis)'}",99.0,Nanoparticulate Alloys,Others,,180 min,3.0,,,,,,,,,10.1016/j.apcata.2009.08.006,2009.0,33.8
621,,Metal Oxide,"Cr, Si",Cr,Silica Oxide,{},,,,,,PDH,propane,False,{'Conversion': 'Structural composition'},,,,,,,,,,,,,,,10.1021/acs.accounts.9b00138,2019.0,
622,6.8V-MCM-41,Metal Oxide,V,V,Silica Oxide,{'propane conversion': '58%'},,C3H8/CO2/Ar = 1/4/4,873.15,15.0,0.2 g,ODH,"C3H8, CO2, Ar",True,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",92.0,,,,Stable for 120 min,2.0,,,,,,,,,10.1016/S1872-2067(18)63048-7,2018.0,58.0
623,Pt-Sn/Al2O3-SAPO-34,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '40%'},45%,H2/C3H8 = 0.25,,,WHSV = 2.79 h-1,PDH,"H2, C3H8",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.0,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1016/j.jiec.2010.09.027,2011.0,40.0
624,PtSnNa/ZSM-5,Alloy,"Pt, Sn, Na","Pt, Sn",Zeolites,{'Propane conversion': '36.4%'},,,,,,PDH,Propane,False,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",,Nanoparticulate Alloys,Impregnation Methods,Na,30 h,1.0,,,,,,,,,10.1016/S1872-1508(06)60026-0,2006.0,36.4
625,PtInHTR-KF,Alloy,"Pt, In",Pt,Others,{'propane conversion': '85%'},1 h-1,C3H8:O2:He=4:1:15 (molar ratio),823.15,30.0,0.1 g of catalyst,ODH,"C3H8, O2, He",True,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.0,Nanoparticulate Alloys,Impregnation Methods,In,15 h,1.0,,78.0,,,,,,,10.1016/j.mcat.2021.111944,2021.0,85.0
626,Pt-Sn/Al2O3,Metal,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '20.2%'},,35% C3H8 balanced by Ar,873.0,80.0,33.0 h-1,PDH,"C3H8, Ar",False,"{'Conversion': 'Reactor design', 'Stability': 'Reactor design'}",,,,Sn,,,,,,,,,,,10.1016/j.ces.2022.118316,2023.0,20.2
627,B-MCM-41,Metal Oxide,"B, Si",B,Silica Oxide,{'Propane conversion': '15%'},,C3H8:O2:N2 = 1:1:10,823.15,,28.8 L/(g·h),ODH,"C3H8, O2, N2",True,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",80.0,,,,50 h,,,40.0,,,,,,,10.1021/acsomega.1c06504,2022.0,15.0
628,Pt-Sn-K/Al2O3,Alloy,"Pt, Sn, K",Pt,Aluminum Oxide,{'propane conversion': '24.5%'},,"30% C3H8, 70% N2",773.15,,,PDH,"C3H8, N2",False,"{'Conversion': 'Reactor Design', 'Selectivity': 'Reactor Design'}",78.0,Nanoparticulate Alloys,Impregnation Methods,"Sn, K",,,,,,,,,,,10.3390/membranes12121211,2022.0,24.5
629,PtSnNaLa/ZSM-5,Alloy,"Pt, Sn, Na, La",Pt,Zeolites,{'Propane conversion': '40.6%'},15.2% (after 5 reaction cycles),H2/C3=0.25,863.15,,WHSV of propane is 3.0 h-1,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",97.4,Others,Impregnation Methods,"Sn, Na, La",80 h,80.0,,35.2,,,,,,,10.1016/j.apcata.2007.07.049,2007.0,40.6
630,PtxSnyNaY,Alloy,"Pt, Sn","Pt, Sn",Zeolites,{},,,,,,PDH,Propane,False,"{'Stability': 'Structural composition', 'Selectivity': 'Structural composition', 'Conversion': 'Structural Composition'}",,Nanoparticulate Alloys,Impregnation Methods,,,,,,,,,,,,10.1006/jcat.1997.1531,1997.0,
631,(tBu4PCP)Ir(H)2,Metal,Ir,Ir,,{'Turnover frequency (TOF)': '12 min-1'},,,,,,PDH,"cyclooctane, tert-butylethylene",False,{'Conversion': 'Structural composition'},,,,,,,,,,,,,,,10.1007/s11434-015-0818-8,2015.0,
632,VOx/Al2O3,Metal Oxide,"V, O",V,Aluminum Oxide,{'Propane conversion': '10%'},,18 vol% C3H8 in Ar,823.15,30.0,WHSV = 6.48 h-1,PDH,"C3H8, Ar",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",92.0,,,,,,18.0,,,,,,,,10.1016/j.mcat.2021.111466,2021.0,10.0
633,Pt supported on hierarchical silicalite-1 nanosheets,Metal,Pt,Pt,Silica Oxide,{'Propane conversion': '30-35%'},0.008 h-1,Propane:N2 = 1:1,823.15,,1.4-11.3 h-1,PDH,"Propane, N2",False,"{'Selectivity': 'Preparation Method', 'Stability': 'Structural Composition'}",96.0,,,,12 h,,,95.0,,,,,,,10.3390/catal9020174,2019.0,35.0
634,Pt/MgAlOx/Al2O3,Metal,Pt,Pt,Aluminum Oxide,{'Propane conversion': '57-61%'},20-30%,H2/C3H8 = 0.25,823.15,,,PDH,"C3H8, H2",False,"{'Stability': 'Structural composition', 'Deactivation rate': 'Structural composition'}",90.0,,,,5 h,5.0,,74.7,,,,,,,10.1016/j.cattod.2018.10.003,2019.0,61.0
635,Pt and Pt-Sn catalysts,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Not specified': 'Not specified'},Not specified,Not specified,,,Not specified,PDH,Propane,False,"{'Stability': 'Addition of Sn promoter', 'Selectivity': 'Addition of Sn promoter'}",,Others,Others,Sn,Not specified,,,,Not specified,,,,,,10.1016/0920-5861(95)00059-O,1995.0,
636,Boron nitride,Metal,"B, N","B, O",,{'Propane conversion': '20.6%'},,C3H8/O2/He,823.15,,,ODH,"C3H8, O2, He",True,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",90.9,,,,300 hours,12.5,,,,,,,,,10.1039/c8cc04604b,2018.0,20.6
637,Gamma-alumina,Metal Oxide,"Al, O",Al,,{'N/A': 'N/A'},,,,,,,,False,{'N/A': 'N/A'},,,,,,,,,,,,,,,10.1021/acs.jpcc.8b01823,2018.0,
638,PtSnNa/Ce(0.76%)-ZSM-5,Alloy,"Pt, Sn, Na, Ce",Pt,Zeolites,{'Propane conversion': '43.5%'},8.7%,n(H2)/n(C3H8) = 0.25,863.15,,WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",96.87,Nanoparticulate Alloys,Impregnation Methods,"Sn, Na",8.7%,0.087,,96.87,,,,,,,10.1039/c6ra04173f,2016.0,43.5
639,Pt-Sn/slit-SAPO-34,Alloy,"Pt, Sn",Pt,Others,"{'propane conversion': '38.2%', 'n-butane conversion': '42.5%', 'iso-butane conversion': '40.1%'}","60.61% (propane), 58.19% (n-butane), 60.05% (iso-butane)","H2/C3H8, H2/C4H10, H2/i-C4H10",858.15,,5 h-1,PDH,"Propane, n-Butane, iso-Butane, Hydrogen",False,"{'Selectivity': 'Support material', 'Conversion': 'Support material', 'Stability': 'Support material'}",95.0,Nanoparticulate Alloys,Impregnation Methods,Sn,8 h,1.0,,94.0,,,,,,,10.1016/j.jiec.2012.09.024,2013.0,38.2
640,Co-Al2O3-HT,Metal Oxide,"Co, Al, O",Co,Aluminum Oxide,{'propane conversion': '21.1%'},0.05 h-1,C3H8:H2:N2 = 1:0.8:3.2,863.15,,2.9 h-1,PDH,"C3H8, H2, N2",False,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",97.1,,,,0.05 h-1,0.05,,20.5,,,,,,,10.1016/j.jcat.2019.11.026,2020.0,21.1
641,Oxygen passivated boron nitride nanoribbon (BNNR),Metal,"B, N, O","N, O",,{'Propane conversion': '14%'},,3:6:11 O2:C3H8:N2,800.0,,,ODH,"O2, C3H8, N2",True,{'Selectivity': 'Active species'},79.0,,,,,,30.3975,,,,,,,,10.1039/d0cy01031f,2020.0,14.0
642,Ce0.90Cr0.05Zr0.05O2,Metal Oxide,"Ce, Cr, Zr",Ce,,{'N/A': 'N/A'},,,823.15,,,ODH,"Propane, Oxygen",True,{'Stability': 'Structural Composition'},,,,"Cr, Zr",250 cycles (148 h on stream),0.00676,,,,,,,,,10.1002/adsc.200800374,2008.0,
643,Pt/Mg(In)(Al)O,Alloy,"Pt, In, Mg, Al, O","Pt, In",Others,{},20% loss in 2 h,H2/C3H8 = 1.25,873.0,60.0,0.025-25 mg,PDH,"Propane, Hydrogen, Helium",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.0,Nanoparticulate Alloys,In Situ Synthesis,In,Stable for over 10 h,,,99.0,67 Î¼mol/s/gcat,,,,,,10.1016/j.jcat.2011.06.008,2011.0,
644,Rh/LaZrOx,Metal,"Rh, La, Zr, O",Rh,Others,{'propane conversion': '10%'},,C3H8:N2 = 2:3,3323.1499999999996,,"0.05-0.3 g, 6-60 mL/min",PDH,"C3H8, N2",False,"{'Selectivity': 'Reaction Temperature', 'Activity': 'Preparation method', 'Stability': 'Process conditions'}",99.0,,,La,40 cycles,0.025,,,23.7 μmol m-2 min-1,,,,,,10.1016/j.apcata.2020.117731,2020.0,10.0
645,PtSnNa/ZSM-5,Alloy,"Pt, Sn, Na",Pt,Zeolites,{'Propane conversion': '61.7%'},1.1% decrease after 8 h,H2:C3H8 = 1:4,863.15,,WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",False,"{'Conversion': 'Preparation Method', 'Stability': 'Preparation Method'}",93.2,Nanoparticulate Alloys,Impregnation Methods,"Sn, Na",1.1% decrease after 8 h,0.0014,,,,,,,,,10.1016/j.ultsonch.2010.04.005,2011.0,61.7
646,Alumina (Al2O3) with different crystal phases,Metal Oxide,"Al, O",Al,,{'Propane conversion': '21.4%'},0.2 h-1,Propane,873.15,8.0,"4.0 g catalyst, WHSV=0.22 h-1",PDH,Propane,False,"{'Conversion': 'Catalyst crystal phase', 'Selectivity': 'Catalyst crystal phase'}",84.65,,,,12 h,1.0,,,34.11 mmol/g/h,,,,,,10.1016/j.mcat.2022.112143,2022.0,21.4
647,V-Mg-Ga-O/Al2O3,Metal Oxide,"V, Mg, Ga, O",V,Aluminum Oxide,{'propane conversion': '16-17%'},,C3H8/O2/N2 = 30/10/60,773.0,,0.12-0.24 s gcat cm-3,ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",55.0,,,"Mg, Ga",,,,9.0,,,,,,,10.1016/S0920-5861(01)00329-7,2001.0,17.0
648,CrOx/SiO2,Metal Oxide,"Cr, O, Si",Cr,Silica Oxide,{'propane conversion': 'N/A'},,,,,,PDH,propane,False,"{'Conversion': 'Active species and structural composition', 'Stability': 'Structural composition'}",,,,,,,,,,,,,,,10.1006/jcat.1994.1183,1994.0,
649,Praseodymium-doped ceria,Metal Oxide,"Ce, Pr",Pr,,{'Propane conversion': '5-10%'},,4 vol% propane in He,843.15,,,PDH,"Propane, He",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",75.0,,,,,,,75.0,,,,,,,10.1016/S1872-2067(19)63369-3,2019.0,10.0
650,ZnO-ZnAl2O4 nanocomposites,Metal Oxide,"Zn, Al, O","Zn2+, Al3+",Aluminum Oxide,{'Isobutane conversion': '10-33%'},2.5x10^-5 - 4.5x10^-2 min^-1,,823.15,20.0,,PDH,"Isobutane, Helium",False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",92.0,,,,,,,,,,,,,,10.1039/d2dt02088b,2022.0,33.0
651,1%P/OCMK,Metal Oxide,"P, C","P, C",Carbon-based,{'Propane conversion': '28%'},,C3H8:He = 1:19,873.0,20.0,0.1 g,PDH,"C3H8, He",False,"{'Conversion': 'Promoter addition', 'Selectivity': 'Promoter addition', 'Stability': 'Promoter addition'}",88.0,,,P,24 h,1.0,,,,,,,,,10.1039/c5ra06619k,2015.0,28.0
652,Atomic Layer Deposited CrOx/SiO2,Metal Oxide,Cr,Cr,Silica Oxide,{'Propane conversion': '18% higher'},Lower relative deactivation rate,CO2:C3H8 = 5:1,873.15,30.0,,ODH,"Propane, CO2, Ar",True,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Yield': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",,,,,,,,15.0,,,,,,,10.1016/j.mcat.2022.112396,2022.0,18.0
653,β-Ga2O3,Metal Oxide,"Ga, O",Ga,,{'propane conversion': '15.4%'},"73% after 104 min, 76% in 104 min",,823.15,,WHSV = 7.2 h-1,PDH,"C3H8, N2",False,{'Selectivity': 'Preparation method'},86.0,,,,100 min,1.67,,,,,,,,,10.1021/acscatal.0c05009,2021.0,15.4
654,VOx/ZrO2,Metal Oxide,"V, O",V,Others,{'Propane conversion': '10%'},"1.6% coke after 4h in CO2, 0.076% coke after 4h in CO2+H2","C3H8/Ar = 5.4:24.6, C3H8/CO2/Ar = 5.4:10.8:13.8",823.15,,6.48 h^-1,PDH,"C3H8, Ar, CO2",False,"{'Activity': 'Support Material', 'Stability': 'Process Conditions'}",93.0,,,,40-45% after 4h,0.113,18.0,,,,,,,,10.1021/acscatal.2c00878,2022.0,10.0
655,Mesoporous cobalt aluminate spinel (Co-Al),Metal Oxide,"Co, Al",Co,Aluminum Oxide,{'Propane conversion': '8-39%'},24% over 5 h,,3323.1499999999996,20.0,0.2 g catalyst,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Active species and support effects', 'Selectivity': 'Active species', 'Stability': 'Catalyst composition'}",80.0,,,,5 h,5.0,,,,,,,,,10.1002/cctc.201700647,2017.0,39.0
656,VOx/SiO2,Metal Oxide,V,V,Silica Oxide,{'propane conversion': '3%'},,,820.15,40.0,,ODH,"C3H8, CO2, He",True,"{'Conversion': 'CO2 as mild oxidant', 'Selectivity': 'Structural Composition'}",92.0,,,,,,,,,,,,,,10.1016/j.jcou.2021.101604,2021.0,3.0
657,Potassium-promoted vanadium oxide on alumina,Metal Oxide,"V, K, Al",V,Aluminum Oxide,{'Propane conversion': '10-50%'},,C3H8/O2/He = 1/6/4,673.15,45.0,,ODH,"C3H8, O2, He",True,"{'Selectivity': 'Promoter addition (K)', 'Conversion': 'Promoter addition (K)'}",90.0,,,K,,,,90.0,,,,,,,10.1016/S0920-5861(02)00341-3,2003.0,50.0
658,Pt-Ga/HOPG,Alloy,"Pt, Ga",Pt,Others,,,Pt:Ga,300.0,,,PDH,CO,False,{'Stability': 'Structural Composition'},,Nanoparticulate Alloys,Surface & Support Methods,,,,,,,,,,,,10.1021/acs.jpcc.9b10944,2020.0,
659,CrOx-ZrO2-SiO2,Metal Oxide,"Cr, Zr, Si",Cr,Silica Oxide,{'propane conversion': '6-10%'},5-6 wt% coke after 200 min,"40 vol% propane, 60 vol% N2",823.15,30.0,100 mg catalyst,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Preparation method'}",91.0,,,Zr,200 min,0.0083,,91.0,0.5 mmol/g min,,,,,,10.3390/molecules27186095,2022.0,10.0
660,Platinum electrodes,Metal,Pt,Pt,,{'Propane conversion': '10-73.8%'},,,898.15,30.0,,PDH,"Propane, Oxygen",False,"{'Selectivity': 'Electro-catalytic dehydrogenation', 'Conversion': 'Electro-catalytic dehydrogenation'}",80.0,,,,,,,80.0,,,,,,,10.1016/j.fuel.2006.06.012,2007.0,73.8
661,MoOx/Al2O3,Metal Oxide,"Mo, O, Al",Mo,Aluminum Oxide,{'propane conversion': '25-30%'},,"4% C3H8, 2% O2, 94% He, 5% C3H8, 95% He, 4% C3H8, 2% O2, 94% He",773.15,50.0,50 mg,ODH,"C3H8, O2, He",True,{'Selectivity': 'Reaction cycle'},20.0,,,,,,,,,,,,,,10.3390/catal10121370,2020.0,30.0
662,PdZn intermetallic compound,Alloy,"Pd, Zn",Pd,,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,False,{'Selectivity': 'Structural composition'},,Intermetallic Compounds,,,,,,,,,,,,,10.1021/acscatal.7b03228,2018.0,
663,"Platinum encapsulated aluminosilicates (Pt/NaA-n, Pt/NaHA-n, Pt/HA-n)",Metal,Pt,,Silica Oxide,{'Propane conversion': '26%'},,"Propane, H2, He",823.0,,,PDH,"Propane, H2, He",False,{'Selectivity': 'Catalyst preparation method'},90.0,,,,,,10.0,,,,,,,,10.1038/ncomms4370,2014.0,26.0
664,Monolayer V2O5/TiO2,Metal Oxide,"V, Ti",V,Oxides,{'Propane conversion': '0.02%'},,,523.15,120.0,,PDH,Propane,False,{'Conversion': 'Preparation method'},90.0,,,,,,,,,,,,,,10.1021/acs.jpcc.9b04991,2019.0,0.02
665,Pt-Sn alloy,Alloy,"Pt, Sn","Pt, Sn",,{},,,,,,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",,Miscellaneous Alloys,,,,,,,,,,,,,10.1021/acscatal.3c00939,2023.0,
666,Cu-ZnO@S-1,Metal Oxide,"Cu, Zn",Zn,Silica Oxide,{'Propane conversion': '43%'},0.025 h-1,67:33 C3H8:H2 (vol%),873.15,,4.7 h-1,PDH,"C3H8, H2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",88.0,,,Cu,0.025 h-1,0.025,,88.0,,,,,,,10.1021/acscatal.2c00928,2022.0,43.0
667,Pt-based bimetallic catalysts,Alloy,"Pt, Zn, Sn, Ga, In, Cu, Mn",Pt,Aluminum Oxide,{'propane conversion': '35.6-47.7%'},0.001-0.0045 h-1,"C3H8/H2/N2 = 1/1.25/4, C3H8/N2 = 1/3, C3H8/H2/Ar = 1/0.5/2",3323.1499999999996,,14,PDH,"C3H8, H2, N2, Ar",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition, Support Material'}",99.2,Intermetallic Compounds,Surface & Support Methods,"Zn, Sn, Ga, In, Cu, Mn",216.7 h,0.0046,,95.4,1.58 (s-1),,,,,,10.1039/d0re00381f,2021.0,47.7
668,CrOx/Zr-Al2O3,Metal Oxide,"Cr, Zr, Al",Cr,Aluminum Oxide,{'propane conversion': '11-67%'},0.04 h-1,C3H8:N2 = 40 ml:40 ml,873.15,,"
					",PDH,"Propane (C3H8), Nitrogen (N2)",False,"{'Stability': 'Zr modification of Al2O3 support', 'Selectivity': 'Zr-Al2O3 support'}",91.0,,,,Stable for 100 cycles,,,91.0,,,,,,,10.1016/j.mcat.2017.04.022,2017.0,67.0
669,Ga2O3/SiO2,Metal Oxide,Ga,Ga,Silica Oxide,{'propane conversion': '27%'},27% to 18% over 4.5h,C3H8:N2 = 1:19,873.15,50.0,3900 mL/g/h,PDH,"C3H8, N2",False,"{'Selectivity': 'Co-feeding CO2', 'Stability': 'Co-feeding CO2'}",93.0,,,,27% to 18% in 4.5 h,0.0196,,,,,,,,,10.1016/S1872-2067(21)63900-1,2021.0,27.0
670,Pt-Sn-K/Al2O3,Metal Oxide,"Pt, Sn, K, Al, O","Pt, Sn",Aluminum Oxide,{'propane conversion': '20%'},,,873.15,,2000 kg/m3,PDH,Propane,False,{'Conversion': 'Reactor design'},90.0,,,,,,,,,,,,,,10.1016/j.jece.2023.110830,2023.0,20.0
671,PtMn/SiO2,Alloy,"Pt, Mn",Pt,Silica Oxide,{'propane conversion': '39.9%'},0.018 h-1,1:4 C3H8/Ar,823.15,10.0,2246 h-1,PDH,"C3H8, Ar",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",96.1,Nanoparticulate Alloys,Surface & Support Methods,Mn,0.018 h-1,0.018,,38.4,822 gC3H6/gPt h,,,,,,10.1021/jacs.2c05618,2022.0,39.9
672,Gallosilicate MFI zeolite with MPS,Metal Oxide,"Ga, Si",Ga,Zeolites,{'Propane conversion': '9-13%'},"2.0 mmol/gcat/h decrease over 12 h (MG11), 3.5 mmol/gcat/h decrease over 12 h (Cr catalyst)","5% C3H8, 95% N2",873.0,,0.07-0.3 g·s·cm-3,PDH,"C3H8, N2",False,"{'Conversion': 'Preparation Method', 'Selectivity': 'Preparation Method', 'Stability': 'Preparation Method'}",85.0,,,,,,,,,,,,,,10.1016/j.jcat.2016.11.017,2017.0,13.0
673,Alumina-supported vanadia catalyst,Metal Oxide,"V, Al",V,Aluminum Oxide,{},,C3H8:O2 ratio,,,,ODH,"C3H8, O2",True,"{'Conversion': 'Vanadia surface density', 'Selectivity': 'Vanadia surface density'}",,,,,,,,,,,,,,,10.1006/jcat.2002.3570,2002.0,
674,Boron peroxo species,Metal,"B, O","B, O",,{'N/A': 'N/A'},,,,,,ODH,"Propane, Oxygen",True,{'Selectivity': 'Active species'},,,,,,,,,,,,,,,10.1021/acs.jpclett.2c03341,2022.0,
675,Pt-Sn2/meso-Al2O3-600,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '40%'},0.022 h-1,"10% C3H8, 10% H2",843.15,50.0,2.9 h-1,PDH,"C3H8, H2, N2",False,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",98.0,Nanoparticulate Alloys,Impregnation Methods,,,0.022,,,,,,,,,10.1016/j.jechem.2021.06.002,2022.0,40.0
676,V2O5/SiO2 prepared by ALE,Metal Oxide,"V, O",V,Silica Oxide,{'Propane conversion': '2.94 mmol/h gcat'},,C3H8:N2=1:4,773.15,41.666666666666664,,PDH,"C3H8, N2",False,"{'Conversion': 'Preparation method (ALE)', 'Stability': 'Preparation method (ALE)'}",,,,,,,,,,,,,,,10.1016/S0040-6031(01)00621-9,2001.0,
677,PtSnNa/SUZ-4,Alloy,"Pt, Sn, Na",Pt,Zeolites,{'Propane conversion': '20.5%'},,C3H8/H2 = 1/3 (molar ratio),863.15,,0.3 g,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.4,Nanoparticulate Alloys,Impregnation Methods,"Sn, Na",10 h,0.1,,18.9,,,,,,,10.1016/S1872-2067(17)62750-5,2017.0,20.5
678,Chromia/zirconia catalyst,Metal Oxide,"Cr, Zr",Cr,Others,{'Isobutane conversion': '20%'},,5 mol% isobutane/N2,723773.0,100.0,,PDH,"Isobutane, N2",False,"{'Conversion': 'Catalyst composition', 'Stability': 'Catalyst composition'}",,,,,,,,,,,,,,,10.1016/S0926-860X(97)00315-3,1998.0,20.0
679,Ru phosphide (RuP),Alloy,"Ru, P",Ru,Silica Oxide,{'propane conversion': '25%'},0.128 h-1,C3H8/H2 = 1/1,873.15,100.0,2 wt% Ru loading,PDH,"C3H8, H2, N2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",91.0,Intermetallic Compounds,Impregnation Methods,P,0.128 h-1,0.128,,91.0,,,,,,,10.1021/acscatal.0c01667,2020.0,25.0
680,Pt-Ge/Al2O3,Alloy,"Pt, Ge",Pt,Aluminum Oxide,{'Propane conversion': '55.7%'},0.10 (1/h),C3H8/H2/N2/Ar = 1:1.5:18.24:1,873.15,,200 (mg),PDH,"C3H8, H2, N2, Ar",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",96.5,Nanoparticulate Alloys,Impregnation Methods,Ge,0.10 (1/h),0.1,,97.2,3.86 (mol/(gPt.h)),,,,,,10.1016/j.apcata.2019.117266,2019.0,55.7
681,ZnOA/S-1,Metal Oxide,Zn,Zn,Silica Oxide,{'Propane conversion': '40.41%'},0.023 h-1,5 vol.% C3H8 in inert balance gas,823.15,40.0,0.47 h-1,PDH,"C3H8, Inert gas",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",96.02,,,,,,,,,,,,,,10.1002/cctc.202300407,2023.0,40.41
682,Rhodium/Triphenylphosphine,Metal,Rh,Rh,,{'Single-pass conversion': '20%'},,,363.15,,,PDH,"Propane, Propylene, Syngas (H2/CO)",False,{'Selectivity': 'Process Conditions'},,,,P,,,,,,,,,,,10.1016/j.ces.2018.04.071,2018.0,20.0
683,Pt and Pt-Sn catalysts,Alloy,"Pt, Sn",Pt,Silica Oxide,{},Rapid deactivation due to coking without Sn promoter,,,,,PDH,propane,False,{'Stability': 'Promoter (Sn)'},,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1006/jcat.1996.0001,1996.0,
684,"Mixed catalyst (MC) - mixture of Pt,Re/Al2O3 and HY zeolite",Alloy,"Pt, Re","Pt, Re",Aluminum Oxide,"{'Propane conversion': '98.5%', 'Benzene conversion': '34%'}",,C6H6:C3H8=1:9,473623.0,,,PDH,"Propane, Benzene",False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition'}",100.0,Others,Impregnation Methods,,,,,,,,,,,,10.1016/S0926-860X(03)00342-9,2003.0,
685,Co SAs/SiO2 NMs,Single Atom,"Co, Si, O",Co,Silica Oxide,{'propane conversion': '25%'},,C3H8:N2 = 2:6.4,823.15,,"150 mg, WHSV = 2.9 h-1",PDH,"C3H8, N2",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",95.0,,,,24 h,,,,,,,,,,10.1021/acscatal.1c05921,2022.0,25.0
686,PtSn/2Mg-SBA-15,Alloy,"Pt, Sn",Pt,Others,{'Propane conversion': '43%'},11% after 6 h,C3H8:Ar = 7:3 (molar ratio),853.15,,WHSV = 8.25 h-1,PDH,"C3H8, Ar",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",99.2,Nanoparticulate Alloys,Impregnation Methods,"Sn, Mg",11% deactivation after 6 h,1.83,,97.84,,,,,,,10.1016/j.apcata.2016.12.026,2017.0,43.0
687,Mg0.992MoO3.992,Metal Oxide,"Mg, Mo, O",Mo,,{'single-pass conversion': '18.6%'},,"30% C3H8, 10% O2, 60% N2",808.0,,,ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",61.8,,,,,,,,,,,,,,10.1016/j.jcat.2004.01.023,2004.0,18.6
