Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year
PtInHTR-KF,Alloy,"Pt, In",Pt,MgF2 modified hydrotalcite-like compounds,{'propane conversion': '85%'},1 h-1,C3H8:O2:He=4:1:15 (molar ratio),550℃,30 ml/min,0.1 g of catalyst,ODH,"C3H8, O2, He",Yes,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92%,Nanoparticulate Alloys,Impregnation Methods,In,15 h,1 h-1,,78%,,,,,,,10.1016/j.mcat.2021.111944,2021.0
Pt-Sn/Al2O3,Metal,"Pt, Sn",Pt,Al2O3,{'Propane conversion': '20.2%'},,35% C3H8 balanced by Ar,873 K,80 mL/min,33.0 h-1,PDH,"C3H8, Ar",No,"{'Conversion': 'Reactor design', 'Stability': 'Reactor design'}",,,,Sn,,,,,,,,,,,10.1016/j.ces.2022.118316,2023.0
B-MCM-41,Metal Oxide,"B, Si",B,Silica,{'Propane conversion': '15%'},,C3H8:O2:N2 = 1:1:10,550 °C,,28.8 L/(g·h),ODH,"C3H8, O2, N2",Yes,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",80%,,,,50 h,1,,40%,,,,,,,10.1021/acsomega.1c06504,2022.0
Pt-Sn-K/Al2O3,Alloy,"Pt, Sn, K",Pt,Al2O3,{'propane conversion': '24.5%'},,"30% C3H8, 70% N2",500°C,,,PDH,"C3H8, N2",No,"{'Conversion': 'Reactor Design', 'Selectivity': 'Reactor Design'}",78%,Nanoparticulate Alloys,Impregnation Methods,"Sn, K",,,,,,,,,,,10.3390/membranes12121211,2022.0
PtSnNaLa/ZSM-5,Alloy,"Pt, Sn, Na, La",Pt,ZSM-5 zeolite,{'Propane conversion': '40.6%'},15.2% (after 5 reaction cycles),H2/C3=0.25,590°C,,WHSV of propane is 3.0 h-1,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",97.4%,Not specified,Sequential impregnation,"Sn, Na, La",80 h,80 h-1,,35.2%,,,,,,,10.1016/j.apcata.2007.07.049,2007.0
PtxSnyNaY,Alloy,"Pt, Sn","Pt, Sn",NaY Zeolite,{},,,,,,PDH,Propane,No,"{'Stability': 'Structural composition', 'Selectivity': 'Structural composition', 'Conversion': 'Structural Composition'}",,Nanoparticulate Alloys,Impregnation Methods,,,,,,,,,,,,10.1006/jcat.1997.1531,1997.0
(tBu4PCP)Ir(H)2,Metal,Ir,Ir,,{'Turnover frequency (TOF)': '12 min-1'},,,,,,PDH,"cyclooctane, tert-butylethylene",No,{'Conversion': 'Structural composition'},,,,,,,,,,,,,,,10.1007/s11434-015-0818-8,2015.0
VOx/Al2O3,Metal Oxide,"V, O",V,Alumina,{'Propane conversion': '10%'},,18 vol% C3H8 in Ar,550°C,30 mL/min,WHSV = 6.48 h-1,PDH,"C3H8, Ar",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",Above 92%,,,,,,18 kPa,,,,,,,,10.1016/j.mcat.2021.111466,2021.0
Pt supported on hierarchical silicalite-1 nanosheets,Metal,Pt,Pt,Silicalite-1,{'Propane conversion': '30-35%'},0.008 h-1,Propane:N2 = 1:1,550℃,,1.4-11.3 h-1,PDH,"Propane, N2",No,"{'Selectivity': 'Preparation Method', 'Stability': 'Structural Composition'}",95-96%,,,,12 h,12,,95%,,,,,,,10.3390/catal9020174,2019.0
Pt/MgAlOx/Al2O3,Metal,Pt,Pt,Alumina,{'Propane conversion': '57-61%'},20-30%,H2/C3H8 = 0.25,550℃,4 h-1,,PDH,"C3H8, H2",No,"{'Stability': 'Structural composition', 'Deactivation rate': 'Structural composition'}",80-90%,,,,5 h,5 h-1,,47-74.7%,,,,,,,10.1016/j.cattod.2018.10.003,2019.0
Pt and Pt-Sn catalysts,Alloy,"Pt, Sn",Pt,"γ-Al2O3, SiO2",{'Not specified': 'Not specified'},Not specified,Not specified,Not specified,Not specified,Not specified,PDH,Propane,No,"{'Stability': 'Addition of Sn promoter', 'Selectivity': 'Addition of Sn promoter'}",Not specified,Not specified,Not specified,Sn,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,10.1016/0920-5861(95)00059-O,1995.0
Boron nitride,Metal-free,"B, N","B, O",None mentioned,{'Propane conversion': '20.6%'},,C3H8/O2/He,550 ℃,,,ODH,"C3H8, O2, He",Yes,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",90.9%,,,,300 hours,12.5 h-1,,,,,,,,,10.1039/c8cc04604b,2018.0
Gamma-alumina,Metal Oxide,"Al, O",Al,,{'N/A': 'N/A'},,,,,,,,No,{'N/A': 'N/A'},,,,,,,,,,,,,,,10.1021/acs.jpcc.8b01823,2018.0
PtSnNa/Ce(0.76%)-ZSM-5,Alloy,"Pt, Sn, Na, Ce",Pt,Ce-modified ZSM-5 zeolite,{'Propane conversion': '43.5%'},8.7%,n(H2)/n(C3H8) = 0.25,590℃,,WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",96.87%,Nanoparticulate,Impregnation,"Sn, Na",8.7%,0.087 h-1,,96.87%,,,,,,,10.1039/c6ra04173f,2016.0
Pt-Sn/slit-SAPO-34,Alloy,"Pt, Sn",Pt,slit-SAPO-34,"{'propane conversion': '38.2%', 'n-butane conversion': '42.5%', 'iso-butane conversion': '40.1%'}","60.61% (propane), 58.19% (n-butane), 60.05% (iso-butane)","H2/C3H8, H2/C4H10, H2/i-C4H10",585°C,,5 h-1,PDH,"Propane, n-Butane, iso-Butane, Hydrogen",No,"{'Selectivity': 'Support material', 'Conversion': 'Support material', 'Stability': 'Support material'}",95%,Nanoparticulate Alloys,Impregnation Methods,Sn,8 h,1 h-1,,94%,,,,,,,10.1016/j.jiec.2012.09.024,2013.0
Co-Al2O3-HT,Metal Oxide,"Co, Al, O",Co,Aluminum Oxide,{'propane conversion': '21.1%'},0.05 h-1,C3H8:H2:N2 = 1:0.8:3.2,590°C,,2.9 h-1,PDH,"C3H8, H2, N2",No,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",97.1%,,,,0.05 h-1,0.05 h-1,,20.5%,,,,,,,10.1016/j.jcat.2019.11.026,2020.0
Oxygen passivated boron nitride nanoribbon (BNNR),Metal-free,"B, N, O","N, O",,{'Propane conversion': '14%'},,3:6:11 O2:C3H8:N2,800 K,,,ODH,"O2, C3H8, N2",Yes,{'Selectivity': 'Active species'},79%,,,,,,0.3 atm,,,,,,,,10.1039/d0cy01031f,2020.0
Ce0.90Cr0.05Zr0.05O2,Metal Oxide,"Ce, Cr, Zr",Ce,,{'N/A': 'N/A'},,,550℃,,,ODH,"Propane, Oxygen",Yes,{'Stability': 'Structural Composition'},,,,"Cr, Zr",250 cycles (148 h on stream),0.00676 h-1,,,,,,,,,10.1002/adsc.200800374,2008.0
Pt/Mg(In)(Al)O,Alloy,"Pt, In, Mg, Al, O","Pt, In",Mg(In)(Al)O,{},20% loss in 2 h,H2/C3H8 = 1.25,873 K,60 cm3/min,0.025-25 mg,PDH,"Propane, Hydrogen, Helium",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98-99%,Nanoparticulate Alloys,In Situ Synthesis,In,Stable for over 10 h,,,98-99%,67 Î¼mol/s/gcat,,,,,,10.1016/j.jcat.2011.06.008,2011.0
Rh/LaZrOx,Metal,"Rh, La, Zr, O",Rh,LaZrOx,{'propane conversion': '10%'},,C3H8:N2 = 2:3,550-600°C,,"0.05-0.3 g, 6-60 mL/min",PDH,"C3H8, N2",No,"{'Selectivity': 'Reaction Temperature', 'Activity': 'Preparation method', 'Stability': 'Process conditions'}",97-99%,,,La,40 cycles,0.025 h-1,,,23.7 μmol m-2 min-1,,,,,,10.1016/j.apcata.2020.117731,2020.0
PtSnNa/ZSM-5,Alloy,"Pt, Sn, Na",Pt,ZSM-5 Zeolite,{'Propane conversion': '61.7%'},1.1% decrease after 8 h,H2:C3H8 = 1:4,590℃,,WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",No,"{'Conversion': 'Preparation Method', 'Stability': 'Preparation Method'}",93.2%,Nanoparticulate Alloys,Impregnation Methods,"Sn, Na",1.1% decrease after 8 h,0.0014 h-1,,,,,,,,,10.1016/j.ultsonch.2010.04.005,2011.0
Alumina (Al2O3) with different crystal phases,Metal Oxide,"Al, O",Al,,{'Propane conversion': '21.4%'},0.2 h-1,Propane,600 ℃,8 mL/min,"4.0 g catalyst, WHSV=0.22 h-1",PDH,Propane,No,"{'Conversion': 'Catalyst crystal phase', 'Selectivity': 'Catalyst crystal phase'}",84.65%,,,,12 h,1 h-1,,,34.11 mmol/g/h,,,,,,10.1016/j.mcat.2022.112143,2022.0
V-Mg-Ga-O/Al2O3,Metal Oxide,"V, Mg, Ga, O",V,Al2O3,{'propane conversion': '16-17%'},,C3H8/O2/N2 = 30/10/60,773 K,,0.12-0.24 s gcat cm-3,ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",48-55%,,,"Mg, Ga",,,,8-9%,,,,,,,10.1016/S0920-5861(01)00329-7,2001.0
CrOx/SiO2,Metal Oxide,"Cr, O, Si",Cr,Silica Oxide,{'propane conversion': 'N/A'},,,,,,PDH,propane,No,"{'Conversion': 'Active species and structural composition', 'Stability': 'Structural composition'}",,,,,,,,,,,,,,,10.1006/jcat.1994.1183,1994.0
Praseodymium-doped ceria,Metal Oxide,"Ce, Pr",Pr,None mentioned,{'Propane conversion': '5-10%'},,4 vol% propane in He,570 (℃),,,PDH,"Propane, He",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",75%,,,,,,,75%,,,,,,,10.1016/S1872-2067(19)63369-3,2019.0
ZnO-ZnAl2O4 nanocomposites,Metal Oxide,"Zn, Al, O","Zn2+, Al3+",Zinc aluminate spinel (ZnAl2O4),{'Isobutane conversion': '10-33%'},2.5x10^-5 - 4.5x10^-2 min^-1,,550℃,20 ml/min isobutane + 30 ml/min He,,PDH,"Isobutane, Helium",No,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",86-92%,,,,,,,,,,,,,,10.1039/d2dt02088b,2022.0
1%P/OCMK,Metal Oxide,"P, C","P, C",Ordered Mesoporous Carbon,{'Propane conversion': '28%'},,C3H8:He = 1:19,873 K,20 mL/min,0.1 g,PDH,"C3H8, He",No,"{'Conversion': 'Promoter addition', 'Selectivity': 'Promoter addition', 'Stability': 'Promoter addition'}",88%,,,P,24 h,1 h-1,,,,,,,,,10.1039/c5ra06619k,2015.0
Atomic Layer Deposited CrOx/SiO2,Metal Oxide,Cr,Cr,Silica Oxide,{'Propane conversion': '18% higher'},Lower relative deactivation rate,CO2:C3H8 = 5:1,600℃,30 sccm,,ODH,"Propane, CO2, Ar",Yes,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Yield': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",Almost the same,,,,,,,15% higher,,,,,,,10.1016/j.mcat.2022.112396,2022.0
β-Ga2O3,Metal Oxide,"Ga, O",Ga,,{'propane conversion': '15.4%'},"73% after 104 min, 76% in 104 min",,550°C,,WHSV = 7.2 h-1,PDH,"C3H8, N2",No,{'Selectivity': 'Preparation method'},86%,,,,100 min,1.67 h-1,,,,,,,,,10.1021/acscatal.0c05009,2021.0
VOx/ZrO2,Metal Oxide,"V, O",V,ZrO2,{'Propane conversion': '10%'},"1.6% coke after 4h in CO2, 0.076% coke after 4h in CO2+H2","C3H8/Ar = 5.4:24.6, C3H8/CO2/Ar = 5.4:10.8:13.8",550℃,,6.48 h^-1,PDH,"C3H8, Ar, CO2",No,"{'Activity': 'Support Material', 'Stability': 'Process Conditions'}",90-93%,,,,40-45% after 4h,0.1-0.113 h^-1,18 kPa,,,,,,,,10.1021/acscatal.2c00878,2022.0
Mesoporous cobalt aluminate spinel (Co-Al),Metal Oxide,"Co, Al",Co,Alumina,{'Propane conversion': '8-39%'},24% over 5 h,,550-600℃,20 mL/min,0.2 g catalyst,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Active species and support effects', 'Selectivity': 'Active species', 'Stability': 'Catalyst composition'}",80%,,,,5 h,5 h-1,,,,,,,,,10.1002/cctc.201700647,2017.0
VOx/SiO2,Metal Oxide,V,V,Silica Oxide,{'propane conversion': '3%'},,,547℃,40 mL/min,,ODH,"C3H8, CO2, He",Yes,"{'Conversion': 'CO2 as mild oxidant', 'Selectivity': 'Structural Composition'}",92%,,,,,,,,,,,,,,10.1016/j.jcou.2021.101604,2021.0
Potassium-promoted vanadium oxide on alumina,Metal Oxide,"V, K, Al",V,Alumina,{'Propane conversion': '10-50%'},,C3H8/O2/He = 1/6/4,300-500℃,45 cm3/min,,ODH,"C3H8, O2, He",Yes,"{'Selectivity': 'Promoter addition (K)', 'Conversion': 'Promoter addition (K)'}",70-90%,,,K,,,,70-90%,,,,,,,10.1016/S0920-5861(02)00341-3,2003.0
Pt-Ga/HOPG,Alloy,"Pt, Ga",Pt,HOPG,,,Pt:Ga,300 K,,,PDH,CO,No,{'Stability': 'Structural Composition'},,Nanoparticulate Alloys,Physical Vapor Deposition,,,,,,,,,,,,10.1021/acs.jpcc.9b10944,2020.0
CrOx-ZrO2-SiO2,Metal Oxide,"Cr, Zr, Si",Cr,Silica Oxide,{'propane conversion': '6-10%'},5-6 wt% coke after 200 min,"40 vol% propane, 60 vol% N2",500-600℃,30 mL/min,100 mg catalyst,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Preparation method'}",84-91%,,,Zr,200 min,0.083-0.0083 h-1,,84-91%,0.5 mmol/g min,,,,,,10.3390/molecules27186095,2022.0
Platinum electrodes,Metal,Pt,Pt,,{'Propane conversion': '10-73.8%'},,,600-650°C,10-30 mL/min,,PDH,"Propane, Oxygen",No,"{'Selectivity': 'Electro-catalytic dehydrogenation', 'Conversion': 'Electro-catalytic dehydrogenation'}",70-80%,,,,,,,60-80%,,,,,,,10.1016/j.fuel.2006.06.012,2007.0
MoOx/Al2O3,Metal Oxide,"Mo, O, Al",Mo,Aluminum Oxide,{'propane conversion': '25-30%'},,"4% C3H8, 2% O2, 94% He, 5% C3H8, 95% He, 4% C3H8, 2% O2, 94% He",500℃,50 mL/min,50 mg,ODH,"C3H8, O2, He",Yes,{'Selectivity': 'Reaction cycle'},10-20%,,,,,,,,,,,,,,10.3390/catal10121370,2020.0
PdZn intermetallic compound,Alloy,"Pd, Zn",Pd,,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,{'Selectivity': 'Structural composition'},,Intermetallic Compounds,,,,,,,,,,,,,10.1021/acscatal.7b03228,2018.0
"Platinum encapsulated aluminosilicates (Pt/NaA-n, Pt/NaHA-n, Pt/HA-n)",Metal,Pt,,Aluminosilicate,{'Propane conversion': '26%'},,"Propane, H2, He",823 K,,,PDH,"Propane, H2, He",No,{'Selectivity': 'Catalyst preparation method'},90%,,,,,,10 kPa,,,,,,,,10.1038/ncomms4370,2014.0
Monolayer V2O5/TiO2,Metal Oxide,"V, Ti",V,Titanium oxide,{'Propane conversion': '0.02%'},,,150-350°C,50-120 sccm,,PDH,Propane,No,{'Conversion': 'Preparation method'},90%,,,,,,,,,,,,,,10.1021/acs.jpcc.9b04991,2019.0
Pt-Sn alloy,Alloy,"Pt, Sn","Pt, Sn",,{},,,,,,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",,Surface skin alloy,,,,,,,,,,,,,10.1021/acscatal.3c00939,2023.0
Cu-ZnO@S-1,Metal Oxide,"Cu, Zn",Zn,Silicalite-1,{'Propane conversion': '43%'},0.025 h-1,67:33 C3H8:H2 (vol%),600℃,,4.7 h-1,PDH,"C3H8, H2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",88%,,,Cu,0.025 h-1,0.025 h-1,,88%,,,,,,,10.1021/acscatal.2c00928,2022.0
Pt-based bimetallic catalysts,Alloy,"Pt, Zn, Sn, Ga, In, Cu, Mn",Pt,"Al2O3, Zeolites, SiO2, Mg(Al)O, MgAl2O4, CeO2",{'propane conversion': '35.6-47.7%'},0.001-0.0045 h-1,"C3H8/H2/N2 = 1/1.25/4, C3H8/N2 = 1/3, C3H8/H2/Ar = 1/0.5/2",550-600 ℃,3.6-9.4 h-1,14,PDH,"C3H8, H2, N2, Ar",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition, Support Material'}",88.5-99.2%,"Nanoparticulate Alloys, Intermetallic Compounds, Single-atom Alloys","Impregnation Methods, Heat Treatment, Surface & Support Methods","Zn, Sn, Ga, In, Cu, Mn",216.7 h,0.0045-0.0046 h-1,,95.4%,1.58 (s-1),,,,,,10.1039/d0re00381f,2021.0
CrOx/Zr-Al2O3,Metal Oxide,"Cr, Zr, Al",Cr,Zirconium-modified aluminum oxide,{'propane conversion': '11-67%'},0.04 h-1,C3H8:N2 = 40 ml:40 ml,600°C,40-8600 ml/(gcat·h),"
					",PDH,"Propane (C3H8), Nitrogen (N2)",No,"{'Stability': 'Zr modification of Al2O3 support', 'Selectivity': 'Zr-Al2O3 support'}",90-91%,,,,Stable for 100 cycles,,,45-91%,,,,,,,10.1016/j.mcat.2017.04.022,2017.0
Ga2O3/SiO2,Metal Oxide,Ga,Ga,Silica Oxide,{'propane conversion': '27%'},27% to 18% over 4.5h,C3H8:N2 = 1:19,600℃,50 mL/min,3900 mL/g/h,PDH,"C3H8, N2",No,"{'Selectivity': 'Co-feeding CO2', 'Stability': 'Co-feeding CO2'}",93%,,,,27% to 18% in 4.5 h,0.0196 h-1,,,,,,,,,10.1016/S1872-2067(21)63900-1,2021.0
Pt-Sn-K/Al2O3,Metal Oxide,"Pt, Sn, K, Al, O","Pt, Sn",Aluminum Oxide,{'propane conversion': '20%'},,,600℃,,2000 kg/m3,PDH,Propane,No,{'Conversion': 'Reactor design'},90%,,,,,,,,,,,,,,10.1016/j.jece.2023.110830,2023.0
PtMn/SiO2,Alloy,"Pt, Mn",Pt,Silica Oxide,{'propane conversion': '39.9%'},0.018 h-1,1:4 C3H8/Ar,550℃,"10 mL/min C3H8, 40 mL/min Ar",2246 h-1,PDH,"C3H8, Ar",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",96.1%,Nanoparticulate Alloys,Surface & Support Methods,Mn,0.018 h-1,0.018 h-1,,38.4%,822 gC3H6/gPt h,,,,,,10.1021/jacs.2c05618,2022.0
Gallosilicate MFI zeolite with MPS,Metal Oxide,"Ga, Si",Ga,Zeolite,{'Propane conversion': '9-13%'},"2.0 mmol/gcat/h decrease over 12 h (MG11), 3.5 mmol/gcat/h decrease over 12 h (Cr catalyst)","5% C3H8, 95% N2",873 K,20 mL STP/min,0.07-0.3 g·s·cm-3,PDH,"C3H8, N2",No,"{'Conversion': 'Preparation Method', 'Selectivity': 'Preparation Method', 'Stability': 'Preparation Method'}",75-85%,,,,,,,Higher vs Cr catalyst at same conversion level,,,,,,,10.1016/j.jcat.2016.11.017,2017.0
Alumina-supported vanadia catalyst,Metal oxide,"V, Al",V,Alumina,{},,C3H8:O2 ratio,,,,ODH,"C3H8, O2",Yes,"{'Conversion': 'Vanadia surface density', 'Selectivity': 'Vanadia surface density'}",,,,,,,,,,,,,,,10.1006/jcat.2002.3570,2002.0
Boron peroxo species,Metal-free,"B, O","B, O",,{'N/A': 'N/A'},,,,,,ODH,"Propane, Oxygen",Yes,{'Selectivity': 'Active species'},,,,,,,,,,,,,,,10.1021/acs.jpclett.2c03341,2022.0
Pt-Sn2/meso-Al2O3-600,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '40%'},0.022 h-1,"10% C3H8, 10% H2",570℃,50 mL/min,2.9 h-1,PDH,"C3H8, H2, N2",No,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",98%,Nanoparticulate Alloys,Co-impregnation,,,0.022 h-1,10%,,,,,,,,10.1016/j.jechem.2021.06.002,2022.0
V2O5/SiO2 prepared by ALE,Metal Oxide,"V, O",V,Silica Oxide,{'Propane conversion': '2.94 mmol/h gcat'},,C3H8:N2=1:4,500℃,2.5 l/h,,PDH,"C3H8, N2",No,"{'Conversion': 'Preparation method (ALE)', 'Stability': 'Preparation method (ALE)'}",,,,,,,,,,,,,,,10.1016/S0040-6031(01)00621-9,2001.0
PtSnNa/SUZ-4,Alloy,"Pt, Sn, Na",Pt,SUZ-4 Zeolite,{'Propane conversion': '20.5%'},,C3H8/H2 = 1/3 (molar ratio),590°C,WHSV = 3.0 h-1,0.3 g,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.4%,Nanoparticulate Alloys,Impregnation Methods,"Sn, Na",10 h,0.1 h-1,,18.9%,,,,,,,10.1016/S1872-2067(17)62750-5,2017.0
Chromia/zirconia catalyst,Metal oxide,"Cr, Zr",Cr,Zirconia,{'Isobutane conversion': '20%'},,5 mol% isobutane/N2,723-773 K,100 cm3/min (STP),,PDH,"Isobutane, N2",No,"{'Conversion': 'Catalyst composition', 'Stability': 'Catalyst composition'}",,,,,,,,,,,,,,,10.1016/S0926-860X(97)00315-3,1998.0
Ru phosphide (RuP),Alloy,"Ru, P",Ru,Silica Oxide,{'propane conversion': '25%'},0.128 h-1,C3H8/H2 = 1/1,600°C,100 mL/min,2 wt% Ru loading,PDH,"C3H8, H2, N2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",91%,Intermetallic Compounds,Impregnation Methods,P,0.128 h-1,0.128 h-1,,91%,,,,,,,10.1021/acscatal.0c01667,2020.0
Pt-Ge/Al2O3,Alloy,"Pt, Ge",Pt,Alumina,{'Propane conversion': '55.7%'},0.10 (1/h),C3H8/H2/N2/Ar = 1:1.5:18.24:1,600 (℃),50 (ml/min),200 (mg),PDH,"C3H8, H2, N2, Ar",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",96.5%,Nanoparticulate Alloys,Impregnation Methods,Ge,0.10 (1/h),0.10 (h-1),,97.2%,3.86 (mol/(gPt.h)),,,,,,10.1016/j.apcata.2019.117266,2019.0
ZnOA/S-1,Metal Oxide,Zn,Zn,Silicalite-1,{'Propane conversion': '40.41%'},0.023 h-1,5 vol.% C3H8 in inert balance gas,550°C,40 mL/min,0.47 h-1,PDH,"C3H8, Inert gas",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",96.02%,,,,,,,,,,,,,,10.1002/cctc.202300407,2023.0
Rhodium/Triphenylphosphine,Metal,Rh,Rh,,{'Single-pass conversion': '20%'},,,363.15 K,,,PDH,"Propane, Propylene, Syngas (H2/CO)",No,{'Selectivity': 'Process Conditions'},,,,P,,,,,,,,,,,10.1016/j.ces.2018.04.071,2018.0
Pt and Pt-Sn catalysts,Alloy,"Pt, Sn",Pt,Silica Oxide-Aluminum Oxide,{},Rapid deactivation due to coking without Sn promoter,,,,,PDH,propane,No,{'Stability': 'Promoter (Sn)'},,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1006/jcat.1996.0001,1996.0
"Mixed catalyst (MC) - mixture of Pt,Re/Al2O3 and HY zeolite",Alloy,"Pt, Re","Pt, Re",Alumina-Zeolite HY,"{'Propane conversion': '98.5%', 'Benzene conversion': '34%'}",,C6H6:C3H8=1:9,473-623 K,,,PDH,"Propane, Benzene",No,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition'}",100%,Bimetallic,Impregnation,,,,,,,,,,,,10.1016/S0926-860X(03)00342-9,2003.0
Co SAs/SiO2 NMs,Single Atom,"Co, Si, O",Co,Silica Oxide,{'propane conversion': '25%'},,C3H8:N2 = 2:6.4,550 ℃,,"150 mg, WHSV = 2.9 h-1",PDH,"C3H8, N2",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",95%,,,,24 h,24,,,,,,,,,10.1021/acscatal.1c05921,2022.0
PtSn/2Mg-SBA-15,Alloy,"Pt, Sn",Pt,SBA-15,{'Propane conversion': '43%'},11% after 6 h,C3H8:Ar = 7:3 (molar ratio),580℃,,WHSV = 8.25 h-1,PDH,"C3H8, Ar",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",99.2%,Nanoparticulate Alloys,Impregnation Method,"Sn, Mg",11% deactivation after 6 h,1.83 h-1,,97.84%,,,,,,,10.1016/j.apcata.2016.12.026,2017.0
Mg0.992MoO3.992,Metal Oxide,"Mg, Mo, O",Mo,,{'single-pass conversion': '18.6%'},,"30% C3H8, 10% O2, 60% N2",808 K,,,ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",61.8%,,,,,,,,,,,,,,10.1016/j.jcat.2004.01.023,2004.0
VCAT (silica supported vanadium oxo organometallic complex),Metal,V,V,Silica,{'Propene conversion': '7%'},,"1/3 propene/para-H2, 1/4 propene/para-H2, 1/6 propene/para-H2",250-500℃,2.1-4.1 scc/s,,PDH,"Propene, Para-hydrogen",No,{'Conversion': 'Catalyst composition (vanadium metal)'},,,,,,,,,,,,,,,10.1021/acs.jpcc.7b12069,2018.0
Platinum-based monolithic catalyst,Metal,Pt,,Alumina,{'Propane conversion': '14.6%'},,,650℃,0.25-1 L/min,,PDH,"Propane, Hydrogen",No,"{'Conversion': 'Reactor design', 'Selectivity': 'Reactor design'}",92-95%,,,,,,Atmospheric,,,,,,,,10.1016/S0009-2509(02)00276-2,2002.0
Ga/Na-SSZ-39(9),Metal Oxide,Ga,Ga,Zeolite SSZ-39,{'Propane conversion': '37%'},,CO2:C3H8:N2 = 1:1:18,600 ℃,60 mL/min,7200 mL gcat^-1 h^-1,ODH,"Propane, CO2, N2",Yes,"{'Selectivity': 'Proper acidic strength and channel structure', 'Stability': 'Channel structure and introduction of CO2'}",63%,,,Na,120 min,0.0083 h^-1,,63%,,,,,,,10.3390/catal13050896,2023.0
CrOy/Al2O3-ZrO2,Metal Oxide,"Cr, Al, Zr",Cr,Alumina,{'Propane conversion': 'N/A'},,,630℃,,,PDH,"Propane, Nitrogen",No,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",,,,Zr,,,,,,,,,,,10.1016/j.catcom.2017.04.016,2017.0
Pt/Ga/Hd-Al2O3,Metal Oxide,"Pt, Ga, Al",Ga,Aluminum Oxide,{'Propane conversion': '65.5%'},10% after 3 cycles,"10 kPa propane, 90 kPa N2",853 K,20 mL/min,0.1 g,PDH,"Propane, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95%,,,Pt,3 h,1 h-1,10 kPa,,,,,,,,10.1016/j.jechem.2019.04.027,2020.0
